file_id,toc_section,toc_section_pos,toc_section_len,is_section_in_summary
10023,Highlights,37,60,True
10023,The Company at a glance,97,88,True
10023,Our strategy for growth,185,37,False
10023,Chairman’s statement,222,160,True
10023,Chief Executive’s report,382,187,True
10023,Financial review,569,774,False
10023,Principal risks and uncertainties,1343,166,False
10023,Board of Directors,1509,154,False
10023,Senior management,1663,117,False
10023,Directors’ report,1780,220,False
10023,Corporate governance statement,2000,85,False
10023,Remuneration report,2085,73,False
10023,Independent auditors’ report,2158,119,False
10023,Financial statements,2277,1732,False
10023,Notice of Annual General Meeting,4009,239,False
10023,Corporate directory,4248,101,False
10024,start,30,112,True
10024,Our 2012 highlights,142,8,True
10024,At a glance,150,134,True
10024,Our strategy for growth,284,101,False
10024,Chairman’s statement,385,158,True
10024,Chief Executive’s report,543,8,True
10024,Financial review,551,1191,False
10024,Principal risks and uncertainties,1742,156,False
10024,Board of Directors,1898,5,False
10024,Senior management,1903,34,False
10024,Corporate responsibility,1937,184,False
10024,Directors’ report,2121,106,False
10024,Remuneration report,2227,771,False
10024,Independent auditor’s report,2998,4,False
10024,Consolidated and Company financial statements,3002,11,False
10024,Notes to financial statements,3013,1716,False
10024,Notice of Annual General Meeting,4729,215,False
10024,Corporate directory,4944,130,False
10025,Our 2013 highlights,39,73,True
10025,At a glance,112,112,True
10025,Our strengths for growth,224,195,False
10025,Our strategy,419,223,False
10025,Chairman’s statement,642,197,True
10025,Chief Executive’s report,839,187,True
10025,Financial review,1026,187,False
10025,Strategic report,1213,6,False
10025,Principal risks and uncertainties,1219,240,False
10025,Corporate responsibility,1459,240,False
10025,Board of Directors,1699,27,False
10025,Senior management,1726,28,False
10025,Corporate governance report,1754,28,False
10025,Directors’ report,1782,161,False
10025,Remuneration report,1943,536,False
10025,Independent auditor’s report,2479,536,False
10025,Consolidated and Company,3015,537,False
10025,Notes to financial statements,3552,1889,False
10025,Notice of Annual General Meeting,5441,164,False
10025,Corporate directory,5605,165,False
10050,Group overview,83,82,False
10050,Financial highlights,165,67,True
10050,Chairman’s statement,232,143,True
10050,Chief Executive’s review,375,238,True
10050,Group strategy,613,4,False
10050,Business model,617,61,False
10050,Market matrix and investment cycle,678,10020,False
10051,Sir Colin Terry Chairman,5032,798,False
10051,Mr G S Berruyer Non-executive director,5830,527,False
10051,Non-executive director,6357,769,False
10051,Mr P E Green Corporate Affairs Director,7126,104,False
10051,Mr P Heiden Non-executive director,7230,1616,False
10051,Ms B L Reichelderfer Non-executive director,8846,51,False
10051,Mr D R Webb Chief Financial Officer,8897,243,False
10051,Mr D M Williams Non-executive director,9140,184,False
10051,Mr S G Young Chief Executive,9324,3020,False
10063,Highlights,43,40,True
10063,Melrose at a glance,83,120,False
10063,Chairman’s statement,203,121,True
10063,Chief Executive’s review,324,136,True
10063,Business review,460,429,False
10063,Finance Director’s Review,889,211,False
10063,Board of Directors,1100,306,False
10063,Directors’ report,1406,264,False
10063,Corporate governance report,1670,310,False
10063,Remuneration report,1980,254,False
10063,Statement of Directors’ responsibilities,2234,31,False
10063,Independent auditors’ report to the members of Melrose PLC,2265,32,False
10063,Consolidated income statement,2297,2,False
10063,Consolidated statement of recognised income and expense,2299,154,False
10063,Consolidated balance sheet,2453,46,False
10063,Consolidated cash flow statement,2499,27,False
10063,Notes to the accounts,2526,738,False
10063,Independent auditors’ report to the members of Melrose PLC,3264,738,False
10063,Company balance sheet for Melrose PLC,4002,34,False
10063,Notes to the Company balance sheet,4036,378,False
10063,Company and shareholder information,4414,46,False
10063,Notice of Annual General Meeting,4460,178,False
10064,Highlights,29,97,True
10064,Melrose at a glance,126,153,True
10064,Chairman’s statement,279,86,True
10064,Chief Executive’s review,365,48,True
10064,Business review,413,255,False
10064,Finance Director’s review,668,473,False
10064,Board of Directors,1141,132,False
10064,Directors’ report,1273,449,False
10064,Corporate governance report,1722,137,False
10064,Remuneration report,1859,550,False
10064,Statement of Directors’ Responsibilities,2409,64,False
10064,Independent auditors’ report to the members of Melrose PLC,2473,110,False
10064,Consolidated income statement,2583,51,False
10064,Consolidated statement of recognised income and expense,2634,19,False
10064,Consolidated balance sheet,2653,46,False
10064,Consolidated cash flow statement,2699,36,False
10064,Notes to the consolidated financial statements,2735,1882,False
10064,Independent auditors’ report to the members of Melrose PLC,4617,89,False
10064,Company balance sheet for Melrose PLC,4706,36,False
10064,Notes to the Company balance sheet,4742,369,False
10064,Company and shareholder information,5111,67,False
10064,Notice of Annual General Meeting,5178,361,False
10065,Corporate information 1,61,3504,False
10065,Summary of significant accounting policies 2,3565,566,False
10065,Critical accounting judgements 3,4131,76,False
10065,Revenue 4,4207,89,False
10065,Segment information 5,4296,90,False
10065,Exceptional costs and income 6,4386,52,False
10065,Revenue and expenses 7,4438,101,False
10065,Tax 8,4539,57,False
10065,Discontinued operations 9,4596,53,False
10065,Dividends 10,4649,53,False
10065,Earnings per share 11,4702,57,False
10065,Intangible assets 12,4759,133,False
10065,"Property, plant and equipment 13",4892,25,False
10065,Interest in joint ventures 14,4917,25,False
10065,Inventories 15,4942,24,False
10065,Trade and other receivables 16,4966,25,False
10065,Cash and cash equivalents 17,4991,25,False
10065,Trade and other payables 18,5016,25,False
10065,Interest-bearing loans and borrowings 19,5041,36,False
10065,Provisions 20,5077,48,False
10065,Deferred tax 21,5125,36,False
10065,Share based payments 22,5161,11,False
10065,Retirement benefit schemes 23,5172,176,False
10065,Financial instruments and risk management 24,5348,139,False
10065,Issued capital and reserves 25,5487,87,False
10065,Cash flow statement 26,5574,53,False
10065,Commitments and contingencies 27,5627,40,False
10065,Related parties 28,5667,0,False
10065,Post balance sheet events 29,5667,0,False
10065,Contingent liabilities 30,5667,848,False
10066,Financial highlights,97,88,True
10066,Group at a glance,185,20,True
10066,Chairman’s statement,205,21,True
10066,Chief Executive’s review,226,21,True
10066,Energy business review,247,39,False
10066,Lifting business review,286,101,False
10066,Dynacast business review,387,36,True
10066,Other Industrial business review,423,889,False
10066,Finance Director’s review,1312,296,False
10066,Board of Directors,1608,410,False
10066,Directors’ report,2018,204,False
10066,Corporate Governance report,2222,779,False
10066,Remuneration report,3001,555,False
10066,Statement of Directors’,3556,2,False
10066,Financial contents,3558,41,False
10066,Independent auditors’ report –,3599,100,False
10066,Consolidated Income Statement,3699,90,False
10066,Consolidated Statement,3789,2,False
10066,Consolidated Statement,3791,47,False
10066,Consolidated Balance Sheet,3838,60,False
10066,Consolidated Statement of Changes,3898,118,False
10066,Notes to the accounts,4016,2148,False
10066,Independent auditors’ report –,6164,77,False
10066,Company Balance Sheet for,6241,35,False
10066,Notes to the Company,6276,363,False
10066,Notice of Annual General Meeting,6639,401,False
10066,Company and shareholder,7040,147,False
10067,Financial highlights,67,64,True
10067,Group at a glance,131,208,True
10067,Chairman’s statement,339,121,True
10067,Chief Executive’s review,460,127,True
10067,Energy business review,587,205,False
10067,Lifting business review,792,213,False
10067,Dynacast business review,1005,121,False
10067,Other Industrial business review,1126,174,False
10067,Finance Director’s review,1300,717,False
10067,Board of Directors,2017,102,False
10067,Directors’ report,2119,278,False
10067,Corporate Governance report,2397,1092,False
10067,Remuneration report,3489,474,False
10067,Statement of Directors’ responsibilities,3963,74,False
10067,Financial contents,4037,64,False
10067,Independent auditor’s report –,4101,84,False
10067,Consolidated Income Statement,4185,71,False
10067,Consolidated Statement,4256,28,False
10067,Consolidated Statement of Cash Flows,4284,37,False
10067,Consolidated Balance Sheet,4321,57,False
10067,Consolidated Statement of,4378,53,False
10067,Notes to the accounts,4431,2609,False
10067,Independent auditor’s report –,7040,78,False
10067,Company Balance Sheet for,7118,43,False
10067,Notes to the Company Balance Sheet,7161,417,False
10067,Notice of Annual General Meeting,7578,310,False
10067,Company and shareholder information,7888,169,False
10068,Group performance,87,54,False
10068,Financial highlights,141,92,True
10068,Group operations,233,105,False
10068,The Melrose strategy,338,164,False
10068,Group at a glance,502,141,True
10068,Chairman’s statement,643,129,True
10068,Chief Executive’s review,772,103,True
10068,Energy business review,875,183,False
10068,Lifting business review,1058,204,False
10068,Other Industrial business review,1262,173,False
10068,Finance Director’s review,1435,777,False
10068,Risks and uncertainties,2212,229,False
10068,Key performance indicators,2441,213,False
10068,Board of Directors,2654,90,False
10068,Directors’ report,2744,432,False
10068,Corporate Governance report,3176,1034,False
10068,Remuneration report,4210,588,False
10068,Statement of Directors’ responsibilities,4798,75,False
10068,Financial contents,4873,42,False
10068,Independent auditor’s report,4915,25,False
10068,Consolidated Income Statement,4940,150,False
10068,Consolidated Statement of Comprehensive Income,5090,30,False
10068,Consolidated Statement of Cash Flows,5120,44,False
10068,Consolidated Balance Sheet,5164,57,False
10068,Consolidated Statement of Changes in Equity,5221,71,False
10068,Notes to the financial statements,5292,2544,False
10068,Independent auditor’s report statements,7836,80,False
10068,Company Balance Sheet for Melrose PLC,7916,47,False
10068,Notes to the Company Balance Sheet,7963,485,False
10068,Notice of Annual General Meeting,8448,278,False
10068,Company and shareholder information,8726,123,False
10069,Timeline of major events,88,49,False
10069,Financial highlights,137,103,True
10069,The Melrose strategy,240,92,False
10069,Group operations,332,8,False
10069,Group overview,340,311,False
10069,Chairman’s statement,651,133,True
10069,Chief Executive’s review,784,154,True
10069,Energy business review,938,136,False
10069,Lifting business review,1074,254,False
10069,Other Industrial business review,1328,113,False
10069,Elster business review,1441,245,False
10069,Finance Director’s review,1686,863,False
10069,Risks and uncertainties,2549,242,False
10069,Key performance indicators,2791,231,False
10069,Board of Directors,3022,102,False
10069,Directors’ report,3124,422,False
10069,Corporate Governance report,3546,1052,False
10069,Remuneration report,4598,419,False
10069,Statement of Directors’ responsibilities,5017,363,False
10069,Financial contents,5380,56,False
10069,Independent auditor’s report — Consolidated statements,5436,49,False
10069,Consolidated Income Statement,5485,89,False
10069,Consolidated Statement of Comprehensive Income,5574,27,False
10069,Consolidated Statement of Cash Flows,5601,56,False
10069,Consolidated Balance Sheet,5657,64,False
10069,Consolidated Statement of Changes in Equity,5721,90,False
10069,Notes to the ﬁnancial statements,5811,2707,False
10069,Independent auditor’s report — Company statements,8518,49,False
10069,Company Balance Sheet for Melrose Industries PLC,8567,24,False
10069,Notes to the Company Balance Sheet,8591,167,False
10069,Notice of Annual General Meeting,8758,189,False
10069,Company and shareholder information,8947,190,False
1007,The vision,149,6,False
1007,The opportunity,155,47,False
1007,Anglo Pacific at a glance,202,63,True
1007,Our principal royalties,265,61,False
1007,Chairman’s statement,326,95,True
1007,Chief Executive Officer’s statement,421,40,True
1007,Market overview,461,87,False
1007,Our strategic objectives,548,54,False
1007,Our business model,602,107,False
1007,Key performance indicators,709,112,False
1007,Principal risks and uncertainties,821,119,False
1007,Our portfolio,940,64,False
1007,Business review,1004,230,False
1007,Financial review,1234,164,False
1007,Corporate social responsibility report,1398,224,False
1007,Directors’ report,1622,307,False
1007,Corporate governance report,1929,392,False
1007,Directors’ remuneration report,2321,1177,False
1007,Important notices,3498,52,False
1007,Statement of Directors’ responsibilities,3550,73,False
1007,Report of the independent auditor,3623,4,False
1007,Consolidated income statement,3627,339,False
1007,Consolidated statement,3966,0,False
1007,Consolidated and Company,3966,0,False
1007,Consolidated statement,3966,216,False
1007,Company statement of,4182,77,False
1007,Consolidated and Company,4259,59,False
1007,Notes to the consolidated,4318,24,False
1007,Directors and advisers,4342,2435,False
10070,Highlights,210,216,True
10070,Melrose at a glance,426,202,False
10070,Market overview,628,389,False
10070,Chairman’s statement,1017,230,True
10070,Chief Executive’s review,1247,161,True
10070,Business strategy,1408,80,True
10070,Strategy in action,1488,283,False
10070,Elster Gas business review,1771,180,False
10070,Elster Electricity business review,1951,208,False
10070,Elster Water business review,2159,188,False
10070,Energy business review,2347,260,False
10070,Lifting business review,2607,292,False
10070,Key performance indicators,2899,183,False
10070,Risk management,3082,100,False
10070,Risks and uncertainties,3182,268,False
10070,Finance Director’s review,3450,779,False
10070,Corporate Social Responsibility,4229,695,False
10070,Overview,4924,144,False
10070,Board of Directors,5068,764,False
10070,Directors’ report,5832,403,False
10070,Corporate Governance report,6235,218,False
10070,Audit Committee report,6453,540,False
10070,Nomination Committee report,6993,101,False
10070,Directors’ remuneration report,7094,1598,False
10070,Statement of Directors’ responsibilities,8692,59,False
10070,Contents,8751,71,False
10070,of Melrose Industries PLC,8822,250,False
10070,Consolidated Income Statement,9072,38,False
10070,Comprehensive Income,9110,54,False
10070,Consolidated Statement of Cash Flows,9164,63,False
10070,Consolidated Balance Sheet,9227,69,False
10070,Consolidated Statement of Changes in Equity,9296,50,False
10070,Notes to the financial statements,9346,2988,False
10070,Melrose Industries PLC,12334,49,True
10070,Notes to the Company Balance Sheet,12383,219,False
10070,Notice of Annual General Meeting,12602,652,False
10071,start,123,11719,True
10071,To receive the Company’s audited financial statements for,11842,4,False
10071,To approve the Directors’ Remuneration Report (other than the,11846,4,False
10071,To declare a final dividend of 53p per Ordinary Share for the,11850,2,False
10071,To re-elect Christopher Miller as a Director of the Company,11852,1,False
10071,To re-elect David Roper as a Director of the Company,11853,1,False
10071,To re-elect Simon Peckham as a Director of the Company,11854,1,False
10071,To re-elect Geoffrey Martin as a Director of the Company,11855,1,False
10071,To re-elect Perry Crosthwaite as a Director of the Company,11856,1,False
10071,To re-elect John Grant as a Director of the Company,11857,1,False
10071,To re-elect Justin Dowley as a Director of the Company,11858,1,False
10071,To re-elect Liz Hewitt as a Director of the Company,11859,1,False
